word	count	note
opt	5	short-token
9384	5	numeric-out-of-range
2926	5	numeric-out-of-range
bc	5	short-token
480	5	numeric-out-of-range
cs	5	short-token
3127	5	numeric-out-of-range
led	5	short-token
997	5	numeric-out-of-range
bl	5	short-token
595	5	numeric-out-of-range
un	5	short-token
9667	5	numeric-out-of-range
pci	5	short-token
5117	5	numeric-out-of-range
6133	5	numeric-out-of-range
627	5	numeric-out-of-range
127th	5	alphanumeric-oddity
423	5	numeric-out-of-range
e3	5	alphanumeric-oddity
90s	5	alphanumeric-oddity
ol	5	short-token
ta	5	short-token
nc	5	short-token
cm	5	short-token
9941	5	numeric-out-of-range
383	5	numeric-out-of-range
362	5	numeric-out-of-range
9196	5	numeric-out-of-range
941	5	numeric-out-of-range
699	5	numeric-out-of-range
834	5	numeric-out-of-range
10-16f	5	alphanumeric-oddity
4runner	5	alphanumeric-oddity
4532	5	numeric-out-of-range
496	5	numeric-out-of-range
126th	5	alphanumeric-oddity
437	5	numeric-out-of-range
9720	5	numeric-out-of-range
self-harm	5	possible-hyphenated-artefact
8504	5	numeric-out-of-range
40th	5	alphanumeric-oddity
554	5	numeric-out-of-range
pen	5	short-token
6am	5	alphanumeric-oddity
ops	5	short-token
als	5	short-token
fob	5	short-token
4701	5	numeric-out-of-range
gs	5	short-token
7147	5	numeric-out-of-range
885	5	numeric-out-of-range
442	5	numeric-out-of-range
coe	5	short-token
hit-skipped	5	possible-hyphenated-artefact
783	5	numeric-out-of-range
559	5	numeric-out-of-range
648	5	numeric-out-of-range
cl	5	short-token
644	5	numeric-out-of-range
single-family	5	possible-hyphenated-artefact
592	5	numeric-out-of-range
636	5	numeric-out-of-range
528	5	numeric-out-of-range
db	5	short-token
2712	5	numeric-out-of-range
dig	5	short-token
1a	5	alphanumeric-oddity
6pm	5	alphanumeric-oddity
534	5	numeric-out-of-range
824	5	numeric-out-of-range
ovr	5	short-token
rear-ended	5	possible-hyphenated-artefact
494	5	numeric-out-of-range
348	5	numeric-out-of-range
361	5	numeric-out-of-range
585	5	numeric-out-of-range
4204	5	numeric-out-of-range
mbc	5	short-token
3203	5	numeric-out-of-range
433	5	numeric-out-of-range
fog	5	short-token
385	5	numeric-out-of-range
bq	5	short-token
dss	5	short-token
lel	5	short-token
vr	5	short-token
596	5	numeric-out-of-range
792	5	numeric-out-of-range
427	5	numeric-out-of-range
894	5	numeric-out-of-range
r2	5	alphanumeric-oddity
889	5	numeric-out-of-range
9902	5	numeric-out-of-range
hub	5	short-token
6776	5	numeric-out-of-range
470	5	numeric-out-of-range
874	5	numeric-out-of-range
6407	5	numeric-out-of-range
553	5	numeric-out-of-range
555	5	numeric-out-of-range
nap	5	short-token
3104	5	numeric-out-of-range
842	5	numeric-out-of-range
8190	5	numeric-out-of-range
9854	5	numeric-out-of-range
tue	5	short-token
cbd	5	short-token
557	5	numeric-out-of-range
fri	5	short-token
10a	5	alphanumeric-oddity
twenty-five	5	possible-hyphenated-artefact
382	5	numeric-out-of-range
10s	5	alphanumeric-oddity
2547	5	numeric-out-of-range
939	5	numeric-out-of-range
547	5	numeric-out-of-range
10104	5	numeric-out-of-range
759	5	numeric-out-of-range
3120	5	numeric-out-of-range
771	5	numeric-out-of-range
4107	5	numeric-out-of-range
idm	5	short-token
2517	5	numeric-out-of-range
25117	5	numeric-out-of-range
21104	5	numeric-out-of-range
19117	5	numeric-out-of-range
explore-platinum	5	possible-hyphenated-artefact
2978	5	numeric-out-of-range
lhs	5	short-token
10412	5	numeric-out-of-range
diy	5	short-token
10426	5	numeric-out-of-range
822	4	numeric-out-of-range
749	4	numeric-out-of-range
vac	4	short-token
741	4	numeric-out-of-range
poa	4	short-token
jar	4	short-token
tn	4	short-token
vf	4	short-token
7125	4	numeric-out-of-range
44e	4	alphanumeric-oddity
374	4	numeric-out-of-range
4046	4	numeric-out-of-range
tcw	4	short-token
ass	4	short-token
ah	4	short-token
lap	4	short-token
21107	4	numeric-out-of-range
4227	4	numeric-out-of-range
4233	4	numeric-out-of-range
ira	4	short-token
ovp	4	short-token
5265	4	numeric-out-of-range
835	4	numeric-out-of-range
597	4	numeric-out-of-range
3684	4	numeric-out-of-range
9627	4	numeric-out-of-range
prw	4	short-token
6135	4	numeric-out-of-range
0101	4	numeric-out-of-range
4920	4	numeric-out-of-range
880	4	numeric-out-of-range
lh	4	short-token
3m	4	alphanumeric-oddity
cps	4	short-token
999	4	numeric-out-of-range
vw	4	short-token
113th	4	alphanumeric-oddity
2629	4	numeric-out-of-range
gin	4	short-token
tpl	4	short-token
fra	4	short-token
5193	4	numeric-out-of-range
4999	4	numeric-out-of-range
ltd	4	short-token
6492	4	numeric-out-of-range
4214	4	numeric-out-of-range
9760	4	numeric-out-of-range
nat	4	short-token
6198	4	numeric-out-of-range
rx	4	short-token
639	4	numeric-out-of-range
ksc	4	short-token
580	4	numeric-out-of-range
218th	4	alphanumeric-oddity
160th	4	alphanumeric-oddity
7928	4	numeric-out-of-range
4219	4	numeric-out-of-range
370	4	numeric-out-of-range
ava	4	short-token
685	4	numeric-out-of-range
4216	4	numeric-out-of-range
3030	4	numeric-out-of-range
5920	4	numeric-out-of-range
3519	4	numeric-out-of-range
rub	4	short-token
3200	4	numeric-out-of-range
2826	4	numeric-out-of-range
659	4	numeric-out-of-range
896	4	numeric-out-of-range
855	4	numeric-out-of-range
6016	4	numeric-out-of-range
187	4	numeric-out-of-range
10411	4	numeric-out-of-range
dna	4	short-token
ez	4	short-token
bow	4	short-token
3766	4	numeric-out-of-range
gi	4	short-token
2950	4	numeric-out-of-range
6104	4	numeric-out-of-range
115019	4	numeric-out-of-range
cn	4	short-token
352	4	numeric-out-of-range
rvs	4	short-token
103rd	4	alphanumeric-oddity
pcu	4	short-token
los	4	short-token
395	4	numeric-out-of-range
680	4	numeric-out-of-range
qa	4	short-token
ps	4	short-token
641	4	numeric-out-of-range
5300	4	numeric-out-of-range
672	4	numeric-out-of-range
21b	4	alphanumeric-oddity
5e	4	alphanumeric-oddity
660	4	numeric-out-of-range
7267	4	numeric-out-of-range
836	4	numeric-out-of-range
982	4	numeric-out-of-range
7pm	4	alphanumeric-oddity
rec	4	short-token
lbs	4	short-token
raw	4	short-token
co-worker	4	possible-hyphenated-artefact
623	4	numeric-out-of-range
adl	4	short-token
544	4	numeric-out-of-range
6086	4	numeric-out-of-range
4722	4	numeric-out-of-range
mud	4	short-token
4178	4	numeric-out-of-range
735	4	numeric-out-of-range
590	4	numeric-out-of-range
8777	4	numeric-out-of-range
100th	4	alphanumeric-oddity
746	4	numeric-out-of-range
ati	4	short-token
533	4	numeric-out-of-range
956	4	numeric-out-of-range
9410	4	numeric-out-of-range
sig	4	short-token
2s	4	alphanumeric-oddity
6060	4	numeric-out-of-range
ir	4	short-token
563	4	numeric-out-of-range
6652	4	numeric-out-of-range
465394	4	numeric-out-of-range
579	4	numeric-out-of-range
614	4	numeric-out-of-range
ovc	4	short-token
856	4	numeric-out-of-range
870	4	numeric-out-of-range
80s	4	alphanumeric-oddity
359	4	numeric-out-of-range
516	4	numeric-out-of-range
pnc	4	short-token
55125	4	numeric-out-of-range
pcw	4	short-token
463	4	numeric-out-of-range
sum	4	short-token
pva	4	short-token
ax	4	short-token
b2	4	alphanumeric-oddity
751	4	numeric-out-of-range
9607	4	numeric-out-of-range
2695	4	numeric-out-of-range
3500	4	numeric-out-of-range
5a	4	alphanumeric-oddity
991	4	numeric-out-of-range
833	4	numeric-out-of-range
3108	4	numeric-out-of-range
3886	4	numeric-out-of-range
791	4	numeric-out-of-range
ap	4	short-token
mi	4	short-token
799	4	numeric-out-of-range
857	4	numeric-out-of-range
333	4	numeric-out-of-range
2571	4	numeric-out-of-range
940	4	numeric-out-of-range
753	4	numeric-out-of-range
7111	4	numeric-out-of-range
ar	4	short-token
2903	4	numeric-out-of-range
937	4	numeric-out-of-range
599	4	numeric-out-of-range
pro	4	short-token
3000	4	numeric-out-of-range
owe	4	short-token
es	4	short-token
2850	4	numeric-out-of-range
188	4	numeric-out-of-range
ing	4	short-token
9542	4	numeric-out-of-range
645	4	numeric-out-of-range
2526	4	numeric-out-of-range
893	4	numeric-out-of-range
4340	4	numeric-out-of-range
2612	4	numeric-out-of-range
926	4	numeric-out-of-range
9524	4	numeric-out-of-range
7370	4	numeric-out-of-range
686	4	numeric-out-of-range
tap	4	short-token
963	4	numeric-out-of-range
7604	4	numeric-out-of-range
482	4	numeric-out-of-range
837	4	numeric-out-of-range
mid-30s	4	alphanumeric-oddity
non-compliance	4	possible-hyphenated-artefact
ada	4	short-token
bug	4	short-token
3626	4	numeric-out-of-range
9753	4	numeric-out-of-range
8784	4	numeric-out-of-range
8746	4	numeric-out-of-range
369	4	numeric-out-of-range
4921	4	numeric-out-of-range
rsv	4	short-token
5437	4	numeric-out-of-range
573	4	numeric-out-of-range
hrv	4	short-token
56135	4	numeric-out-of-range
7672	4	numeric-out-of-range
9712	4	numeric-out-of-range
843	4	numeric-out-of-range
4650	4	numeric-out-of-range
6250	4	numeric-out-of-range
ctw	4	short-token
nif	4	short-token
9275	4	numeric-out-of-range
8209	4	numeric-out-of-range
5623	4	numeric-out-of-range
9827	4	numeric-out-of-range
1018645	4	numeric-out-of-range
968	4	numeric-out-of-range
ebt	4	short-token
53120	4	numeric-out-of-range
thu	4	short-token
tpd	4	short-token
mia	4	short-token
120506	4	numeric-out-of-range
mon	4	short-token
983	4	numeric-out-of-range
679	4	numeric-out-of-range
2501	4	numeric-out-of-range
2915	4	numeric-out-of-range
etc	4	short-token
818	4	numeric-out-of-range
479	4	numeric-out-of-range
4120	4	numeric-out-of-range
movie-going	4	possible-hyphenated-artefact
8053	4	numeric-out-of-range
953	4	numeric-out-of-range
587	4	numeric-out-of-range
55150	4	numeric-out-of-range
379	4	numeric-out-of-range
4699	4	numeric-out-of-range
spa	4	short-token
4132	4	numeric-out-of-range
tea	4	short-token
2912	4	numeric-out-of-range
7128	4	numeric-out-of-range
992	4	numeric-out-of-range
9am	4	alphanumeric-oddity
3130	4	numeric-out-of-range
eob	4	short-token
5425	4	numeric-out-of-range
7800	4	numeric-out-of-range
755	4	numeric-out-of-range
378	4	numeric-out-of-range
550	4	numeric-out-of-range
978	4	numeric-out-of-range
64108	4	numeric-out-of-range
10428	4	numeric-out-of-range
28108	4	numeric-out-of-range
4130	4	numeric-out-of-range
784	4	numeric-out-of-range
7150	4	numeric-out-of-range
10778	4	numeric-out-of-range
868	4	numeric-out-of-range
948	4	numeric-out-of-range
765	4	numeric-out-of-range
7713	4	numeric-out-of-range
22010	4	numeric-out-of-range
121108	4	numeric-out-of-range
10-8s	4	alphanumeric-oddity
6719	4	numeric-out-of-range
432	4	numeric-out-of-range
827	4	numeric-out-of-range
10710	4	numeric-out-of-range
cfm	4	short-token
10425	4	numeric-out-of-range
958	4	numeric-out-of-range
755457	4	numeric-out-of-range
4213	4	numeric-out-of-range
212108	4	numeric-out-of-range
4012	3	numeric-out-of-range
31st	3	alphanumeric-oddity
7836	3	numeric-out-of-range
light-colored	3	possible-hyphenated-artefact
6346	3	numeric-out-of-range
2pm	3	alphanumeric-oddity
4936	3	numeric-out-of-range
6062	3	numeric-out-of-range
5816	3	numeric-out-of-range
9365	3	numeric-out-of-range
4044	3	numeric-out-of-range
9402	3	numeric-out-of-range
fbi	3	short-token
5570	3	numeric-out-of-range
bf	3	short-token
560	3	numeric-out-of-range
4474	3	numeric-out-of-range
3745	3	numeric-out-of-range
em	3	short-token
hx	3	short-token
8328	3	numeric-out-of-range
ft	3	short-token
6431	3	numeric-out-of-range
2519	3	numeric-out-of-range
178th	3	alphanumeric-oddity
9215	3	numeric-out-of-range
op	3	short-token
5523	3	numeric-out-of-range
jaw	3	short-token
tar	3	short-token
70th	3	alphanumeric-oddity
vl	3	short-token
bci	3	short-token
7183	3	numeric-out-of-range
eve	3	short-token
7852	3	numeric-out-of-range
4739	3	numeric-out-of-range
mvt	3	short-token
7217	3	numeric-out-of-range
6661	3	numeric-out-of-range
4959	3	numeric-out-of-range
paw	3	short-token
776	3	numeric-out-of-range
co2	3	alphanumeric-oddity
3464	3	numeric-out-of-range
7297	3	numeric-out-of-range
3081	3	numeric-out-of-range
5247	3	numeric-out-of-range
2667	3	numeric-out-of-range
640059	3	numeric-out-of-range
59150	3	numeric-out-of-range
5924	3	numeric-out-of-range
8613	3	numeric-out-of-range
2595	3	numeric-out-of-range
52135	3	numeric-out-of-range
2696	3	numeric-out-of-range
cx	3	short-token
4861	3	numeric-out-of-range
9pm	3	alphanumeric-oddity
apc	3	short-token
170th	3	alphanumeric-oddity
4868	3	numeric-out-of-range
4817	3	numeric-out-of-range
7130	3	numeric-out-of-range
8175	3	numeric-out-of-range
dcw	3	short-token
3440	3	numeric-out-of-range
7450	3	numeric-out-of-range
tam	3	short-token
16s	3	alphanumeric-oddity
9217	3	numeric-out-of-range
7219	3	numeric-out-of-range
9g	3	alphanumeric-oddity
7512	3	numeric-out-of-range
7373	3	numeric-out-of-range
6303	3	numeric-out-of-range
851	3	numeric-out-of-range
9986	3	numeric-out-of-range
8109	3	numeric-out-of-range
671	3	numeric-out-of-range
4060	3	numeric-out-of-range
3346	3	numeric-out-of-range
3443	3	numeric-out-of-range
9409	3	numeric-out-of-range
21e	3	alphanumeric-oddity
2845	3	numeric-out-of-range
f1	3	alphanumeric-oddity
2523	3	numeric-out-of-range
8049	3	numeric-out-of-range
je	3	short-token
q17	3	alphanumeric-oddity
a3	3	alphanumeric-oddity
394	3	numeric-out-of-range
6191	3	numeric-out-of-range
9244	3	numeric-out-of-range
8868	3	numeric-out-of-range
665	3	numeric-out-of-range
9164	3	numeric-out-of-range
dip	3	short-token
2514	3	numeric-out-of-range
mgm	3	short-token
3300	3	numeric-out-of-range
hd5	3	alphanumeric-oddity
5205	3	numeric-out-of-range
ish	3	short-token
jc	3	short-token
392	3	numeric-out-of-range
si	3	short-token
7159	3	numeric-out-of-range
semi-truck	3	possible-hyphenated-artefact
hon	3	short-token
cca	3	short-token
ej	3	short-token
7894	3	numeric-out-of-range
6220	3	numeric-out-of-range
gmo	3	short-token
aim	3	short-token
5383	3	numeric-out-of-range
4778	3	numeric-out-of-range
ma	3	short-token
fet	3	short-token
859	3	numeric-out-of-range
3370	3	numeric-out-of-range
2839	3	numeric-out-of-range
7763	3	numeric-out-of-range
2939	3	numeric-out-of-range
obp	3	short-token
6774	3	numeric-out-of-range
344	3	numeric-out-of-range
6232	3	numeric-out-of-range
451	3	numeric-out-of-range
g12	3	alphanumeric-oddity
7402	3	numeric-out-of-range
ovl	3	short-token
8pm	3	alphanumeric-oddity
386	3	numeric-out-of-range
3690	3	numeric-out-of-range
6217	3	numeric-out-of-range
left-hand	3	possible-hyphenated-artefact
56170	3	numeric-out-of-range
fat	3	short-token
pee	3	short-token
4377	3	numeric-out-of-range
452	3	numeric-out-of-range
57185	3	numeric-out-of-range
55200	3	numeric-out-of-range
4961	3	numeric-out-of-range
7287	3	numeric-out-of-range
677	3	numeric-out-of-range
vtl	3	short-token
3344	3	numeric-out-of-range
p2	3	alphanumeric-oddity
4530	3	numeric-out-of-range
da	3	short-token
338	3	numeric-out-of-range
multi-story	3	possible-hyphenated-artefact
4923	3	numeric-out-of-range
739	3	numeric-out-of-range
ted	3	short-token
912	3	numeric-out-of-range
9556	3	numeric-out-of-range
2922	3	numeric-out-of-range
rip	3	short-token
4222	3	numeric-out-of-range
5672	3	numeric-out-of-range
2725	3	numeric-out-of-range
8197	3	numeric-out-of-range
6581	3	numeric-out-of-range
2733	3	numeric-out-of-range
107th	3	alphanumeric-oddity
ref	3	short-token
337	3	numeric-out-of-range
4718	3	numeric-out-of-range
5169	3	numeric-out-of-range
5524	3	numeric-out-of-range
2930	3	numeric-out-of-range
ga	3	short-token
aed	3	short-token
7661	3	numeric-out-of-range
5710	3	numeric-out-of-range
rg	3	short-token
4144	3	numeric-out-of-range
ivy	3	short-token
sw	3	short-token
766	3	numeric-out-of-range
3109	3	numeric-out-of-range
8710	3	numeric-out-of-range
216th	3	alphanumeric-oddity
4027	3	numeric-out-of-range
rp	3	short-token
9514	3	numeric-out-of-range
4919	3	numeric-out-of-range
det	3	short-token
lv	3	short-token
pdl	3	short-token
3437	3	numeric-out-of-range
5396	3	numeric-out-of-range
reddish-orange	3	possible-hyphenated-artefact
6983	3	numeric-out-of-range
37th	3	alphanumeric-oddity
72nd	3	alphanumeric-oddity
vt	3	short-token
4331	3	numeric-out-of-range
7747	3	numeric-out-of-range
6157	3	numeric-out-of-range
4858	3	numeric-out-of-range
9599	3	numeric-out-of-range
won	3	short-token
770	3	numeric-out-of-range
dlr	3	short-token
6436	3	numeric-out-of-range
2617	3	numeric-out-of-range
8352	3	numeric-out-of-range
7867	3	numeric-out-of-range
114401	3	numeric-out-of-range
8116	3	numeric-out-of-range
8168	3	numeric-out-of-range
brown-brown	3	possible-hyphenated-artefact
2583	3	numeric-out-of-range
vpn	3	short-token
iac	3	short-token
498	3	numeric-out-of-range
fd	3	short-token
491	3	numeric-out-of-range
bm	3	short-token
6170	3	numeric-out-of-range
130th	3	alphanumeric-oddity
334	3	numeric-out-of-range
9789	3	numeric-out-of-range
2851	3	numeric-out-of-range
465	3	numeric-out-of-range
883	3	numeric-out-of-range
4547	3	numeric-out-of-range
964	3	numeric-out-of-range
813	3	numeric-out-of-range
7347	3	numeric-out-of-range
973	3	numeric-out-of-range
7407	3	numeric-out-of-range
5111	3	numeric-out-of-range
4395	3	numeric-out-of-range
7250	3	numeric-out-of-range
6138	3	numeric-out-of-range
984	3	numeric-out-of-range
219th	3	alphanumeric-oddity
o2	3	alphanumeric-oddity
pep	3	short-token
km	3	short-token
6528	3	numeric-out-of-range
ubs	3	short-token
371	3	numeric-out-of-range
pam	3	short-token
mdt	3	short-token
994	3	numeric-out-of-range
6326	3	numeric-out-of-range
3239	3	numeric-out-of-range
7226	3	numeric-out-of-range
9458	3	numeric-out-of-range
4841	3	numeric-out-of-range
9584	3	numeric-out-of-range
8206	3	numeric-out-of-range
lpb	3	short-token
hg5	3	alphanumeric-oddity
7454	3	numeric-out-of-range
4506	3	numeric-out-of-range
5083	3	numeric-out-of-range
8737	3	numeric-out-of-range
4763	3	numeric-out-of-range
4615	3	numeric-out-of-range
4203	3	numeric-out-of-range
70s	3	alphanumeric-oddity
5457	3	numeric-out-of-range
vic	3	short-token
8773	3	numeric-out-of-range
gf	3	short-token
781	3	numeric-out-of-range
7768	3	numeric-out-of-range
9108	3	numeric-out-of-range
right-hand	3	possible-hyphenated-artefact
8403	3	numeric-out-of-range
lift-assist	3	possible-hyphenated-artefact
123rd	3	alphanumeric-oddity
368	3	numeric-out-of-range
7164	3	numeric-out-of-range
61260	3	numeric-out-of-range
3912	3	numeric-out-of-range
988	3	numeric-out-of-range
6193	3	numeric-out-of-range
631	3	numeric-out-of-range
945	3	numeric-out-of-range
9936	3	numeric-out-of-range
8047	3	numeric-out-of-range
438	3	numeric-out-of-range
844	3	numeric-out-of-range
9224	3	numeric-out-of-range
211th	3	alphanumeric-oddity
9487	3	numeric-out-of-range
5471	3	numeric-out-of-range
rc	3	short-token
gua	3	short-token
561	3	numeric-out-of-range
del	3	short-token
460	3	numeric-out-of-range
qc	3	short-token
4307	3	numeric-out-of-range
liz	3	short-token
h2	3	alphanumeric-oddity
ic	3	short-token
mmp	3	short-token
9971	3	numeric-out-of-range
646	3	numeric-out-of-range
8408	3	numeric-out-of-range
28900	3	numeric-out-of-range
9352	3	numeric-out-of-range
multi-dwelling	3	possible-hyphenated-artefact
6287	3	numeric-out-of-range
7235	3	numeric-out-of-range
790	3	numeric-out-of-range
7465	3	numeric-out-of-range
4676	3	numeric-out-of-range
9476	3	numeric-out-of-range
649	3	numeric-out-of-range
9737	3	numeric-out-of-range
5341	3	numeric-out-of-range
8332	3	numeric-out-of-range
tub	3	short-token
kuf	3	short-token
971	3	numeric-out-of-range
863	3	numeric-out-of-range
567	3	numeric-out-of-range
4348	3	numeric-out-of-range
2827	3	numeric-out-of-range
eds	3	short-token
85th	3	alphanumeric-oddity
128th	3	alphanumeric-oddity
3781	3	numeric-out-of-range
ova	3	short-token
966	3	numeric-out-of-range
4160	3	numeric-out-of-range
8514	3	numeric-out-of-range
3065	3	numeric-out-of-range
8383	3	numeric-out-of-range
0238	3	numeric-out-of-range
fac	3	short-token
6513	3	numeric-out-of-range
19342	3	numeric-out-of-range
rep	3	short-token
4642	3	numeric-out-of-range
860131	3	numeric-out-of-range
574	3	numeric-out-of-range
4477	3	numeric-out-of-range
4752	3	numeric-out-of-range
6020	3	numeric-out-of-range
high-rise	3	possible-hyphenated-artefact
5933	3	numeric-out-of-range
8048	3	numeric-out-of-range
td	3	short-token
981	3	numeric-out-of-range
3284	3	numeric-out-of-range
mrs	3	short-token
6b	3	alphanumeric-oddity
rfp	3	short-token
2830	3	numeric-out-of-range
od	3	short-token
8721	3	numeric-out-of-range
8249	3	numeric-out-of-range
758	3	numeric-out-of-range
9357	3	numeric-out-of-range
22nd	3	alphanumeric-oddity
8977	3	numeric-out-of-range
5804	3	numeric-out-of-range
8579	3	numeric-out-of-range
7581	3	numeric-out-of-range
2846	3	numeric-out-of-range
485	3	numeric-out-of-range
7175	3	numeric-out-of-range
8915	3	numeric-out-of-range
2742	3	numeric-out-of-range
ant	3	short-token
8750	3	numeric-out-of-range
4986	3	numeric-out-of-range
6836	3	numeric-out-of-range
3029	3	numeric-out-of-range
2968	3	numeric-out-of-range
6945	3	numeric-out-of-range
102nd	3	alphanumeric-oddity
57158	3	numeric-out-of-range
4755	3	numeric-out-of-range
ucl	3	short-token
83rd	3	alphanumeric-oddity
von	3	short-token
5333	3	numeric-out-of-range
566	3	numeric-out-of-range
960	3	numeric-out-of-range
3037	3	numeric-out-of-range
ali	3	short-token
979	3	numeric-out-of-range
sd	3	short-token
602	3	numeric-out-of-range
7006	3	numeric-out-of-range
5207	3	numeric-out-of-range
9824	3	numeric-out-of-range
4366	3	numeric-out-of-range
4582	3	numeric-out-of-range
black-brown	3	possible-hyphenated-artefact
397	3	numeric-out-of-range
5499	3	numeric-out-of-range
3642	3	numeric-out-of-range
4169	3	numeric-out-of-range
8079	3	numeric-out-of-range
7682	3	numeric-out-of-range
530735968	3	numeric-out-of-range
2953	3	numeric-out-of-range
5409	3	numeric-out-of-range
31479	3	numeric-out-of-range
5723	3	numeric-out-of-range
6811	3	numeric-out-of-range
pry	3	short-token
3470	3	numeric-out-of-range
56180	3	numeric-out-of-range
spy	3	short-token
5015	3	numeric-out-of-range
7710	3	numeric-out-of-range
cover-ups	3	possible-hyphenated-artefact
2917	3	numeric-out-of-range
well-being	3	possible-hyphenated-artefact
lie	3	short-token
7595	3	numeric-out-of-range
4661	3	numeric-out-of-range
han	3	short-token
rs	3	short-token
737	3	numeric-out-of-range
bra	3	short-token
cd	3	short-token
dlb	3	short-token
tnc	3	short-token
5681	3	numeric-out-of-range
2980	3	numeric-out-of-range
3298	3	numeric-out-of-range
dp	3	short-token
8879	3	numeric-out-of-range
9492	3	numeric-out-of-range
4229	3	numeric-out-of-range
848	3	numeric-out-of-range
6972	3	numeric-out-of-range
7063	3	numeric-out-of-range
8244	3	numeric-out-of-range
ip	3	short-token
789	3	numeric-out-of-range
957	3	numeric-out-of-range
4974	3	numeric-out-of-range
5010	3	numeric-out-of-range
5007	3	numeric-out-of-range
461	3	numeric-out-of-range
952	3	numeric-out-of-range
2701	3	numeric-out-of-range
7054	3	numeric-out-of-range
aa	3	short-token
lbt	3	short-token
57170	3	numeric-out-of-range
9665	3	numeric-out-of-range
793	3	numeric-out-of-range
6900	3	numeric-out-of-range
873	3	numeric-out-of-range
jen	3	short-token
521	3	numeric-out-of-range
5619	3	numeric-out-of-range
cot	3	short-token
497	3	numeric-out-of-range
8884	3	numeric-out-of-range
7145	3	numeric-out-of-range
99108	3	numeric-out-of-range
9104	3	numeric-out-of-range
3315	3	numeric-out-of-range
21110	3	numeric-out-of-range
050254	3	numeric-out-of-range
7160	3	numeric-out-of-range
638	3	numeric-out-of-range
9170	3	numeric-out-of-range
9180	3	numeric-out-of-range
9150	3	numeric-out-of-range
782	3	numeric-out-of-range
2999	3	numeric-out-of-range
2746	3	numeric-out-of-range
4104	3	numeric-out-of-range
6107	3	numeric-out-of-range
7240	3	numeric-out-of-range
2620	3	numeric-out-of-range
3302	3	numeric-out-of-range
779	3	numeric-out-of-range
14755athens	3	alphanumeric-oddity
ppo	3	short-token
549	3	numeric-out-of-range
104229	3	numeric-out-of-range
2515	3	numeric-out-of-range
8645	3	numeric-out-of-range
849	3	numeric-out-of-range
10413	3	numeric-out-of-range
254108	3	numeric-out-of-range
10416	3	numeric-out-of-range
dpa	3	short-token
cdi	3	short-token
459	3	numeric-out-of-range
4496	3	numeric-out-of-range
160108	3	numeric-out-of-range
2502	3	numeric-out-of-range
877	3	numeric-out-of-range
car2truck1	3	alphanumeric-oddity
7104	3	numeric-out-of-range
8240	3	numeric-out-of-range
5190	3	numeric-out-of-range
12pm	3	alphanumeric-oddity
71116165	3	numeric-out-of-range
5500	3	numeric-out-of-range
871	3	numeric-out-of-range
52120	3	numeric-out-of-range
389	3	numeric-out-of-range
151431214312	3	numeric-out-of-range
658	3	numeric-out-of-range
2606	3	numeric-out-of-range
351	3	numeric-out-of-range
689	3	numeric-out-of-range
tac	3	short-token
769	3	numeric-out-of-range
676	3	numeric-out-of-range
3511	3	numeric-out-of-range
9940	3	numeric-out-of-range
5028	3	numeric-out-of-range
3027	3	numeric-out-of-range
3135	3	numeric-out-of-range
562	3	numeric-out-of-range
12am	3	alphanumeric-oddity
803	3	numeric-out-of-range
294108	3	numeric-out-of-range
21117	3	numeric-out-of-range
9155	3	numeric-out-of-range
3150	3	numeric-out-of-range
4555	3	numeric-out-of-range
explorer-platinum	3	possible-hyphenated-artefact
2921	3	numeric-out-of-range
2928	3	numeric-out-of-range
5810	3	numeric-out-of-range
3010	3	numeric-out-of-range
2988	3	numeric-out-of-range
4010	3	numeric-out-of-range
4208	3	numeric-out-of-range
635	3	numeric-out-of-range
xl	3	short-token
explore-gold	3	possible-hyphenated-artefact
0811	3	numeric-out-of-range
3229	3	numeric-out-of-range
454	3	numeric-out-of-range
8000	3	numeric-out-of-range
1183911839	3	numeric-out-of-range
7410	3	numeric-out-of-range
7727	3	numeric-out-of-range
3123	3	numeric-out-of-range
7526	3	numeric-out-of-range
ppe	3	short-token
936391	3	numeric-out-of-range
b10	3	alphanumeric-oddity
798	3	numeric-out-of-range
hhr	3	short-token
