word	count	note
135	40	numeric-out-of-range
620	40	numeric-out-of-range
yep	40	short-token
190	39	numeric-out-of-range
264	39	numeric-out-of-range
175	39	numeric-out-of-range
180	38	numeric-out-of-range
302	38	numeric-out-of-range
fee	38	short-token
410	38	numeric-out-of-range
290	37	numeric-out-of-range
147	37	numeric-out-of-range
med	37	short-token
317	37	numeric-out-of-range
ian	37	short-token
ina	37	short-token
112	37	numeric-out-of-range
263	37	numeric-out-of-range
148	36	numeric-out-of-range
109	36	numeric-out-of-range
262	36	numeric-out-of-range
429	36	numeric-out-of-range
146	36	numeric-out-of-range
ave	35	short-token
ovi	35	short-token
126	35	numeric-out-of-range
510	35	numeric-out-of-range
151	34	numeric-out-of-range
172	34	numeric-out-of-range
hy	34	short-token
vee	34	short-token
249	33	numeric-out-of-range
joe	33	short-token
235	33	numeric-out-of-range
131	33	numeric-out-of-range
173	33	numeric-out-of-range
log	32	short-token
13th	32	alphanumeric-oddity
239	32	numeric-out-of-range
uto	32	short-token
310	32	numeric-out-of-range
sun	32	short-token
618	32	numeric-out-of-range
app	32	short-token
611	32	numeric-out-of-range
520	32	numeric-out-of-range
age	32	short-token
7th	32	alphanumeric-oddity
519	32	numeric-out-of-range
ai	32	short-token
28th	31	alphanumeric-oddity
dob	31	short-token
dus	31	short-token
236	31	numeric-out-of-range
cbs	31	short-token
506	31	numeric-out-of-range
232	31	numeric-out-of-range
425	31	numeric-out-of-range
tpo	31	short-token
four-door	31	possible-hyphenated-artefact
ray	31	short-token
cit	30	short-token
ht	30	short-token
nor	30	short-token
award-winning	30	possible-hyphenated-artefact
145	30	numeric-out-of-range
met	30	short-token
san	30	short-token
414	30	numeric-out-of-range
231	30	numeric-out-of-range
cop	30	short-token
234	30	numeric-out-of-range
308	30	numeric-out-of-range
law	29	short-token
165	29	numeric-out-of-range
ro	29	short-token
q	29	short-token
128	29	numeric-out-of-range
2506	29	numeric-out-of-range
600	29	numeric-out-of-range
10am	29	alphanumeric-oddity
29107	29	numeric-out-of-range
720	28	numeric-out-of-range
278	28	numeric-out-of-range
web	28	short-token
422	28	numeric-out-of-range
121	28	numeric-out-of-range
oil	28	short-token
259	28	numeric-out-of-range
714	28	numeric-out-of-range
908	28	numeric-out-of-range
159	28	numeric-out-of-range
lsd	27	short-token
315	27	numeric-out-of-range
136	27	numeric-out-of-range
doa	27	short-token
