address	count	context
1447 Ridgewood	7	valid
11922 Madison	7	valid
1298 Edwards	7	valid
11790 Madison	7	valid
1352 Kenilworth	7	valid
1670 Lauderdale	7	valid
12102 Madison	7	valid
15730 Madison	7	valid
2009 Morrison	7	valid
16934 Detroit	7	valid
1538 West	7	valid
13900 Detroit Room	6	valid
18120 Sloan	6	valid
175 Brown	6	suspect
15324 Clifton	6	valid
14710 Lake	6	valid
1820 Edgewater	6	valid
1691 Robinwood	6	valid
2117 Halstead	6	valid
2010 Toyota	6	valid
1274 Idlewood	6	valid
170 Brown	6	suspect
2006 Toyota	6	valid
11843 Edgewater	6	valid
1450 West	6	valid
1325 Lakeland	6	valid
190 Brown	6	suspect
1800 Edgewater	6	valid
1374 West	6	valid
2013 Kia	6	valid
1341 Marlow	6	valid
12002 Lake	6	valid
2050 Brown	6	valid
1311 Bonnyview	6	valid
1227 Cranford	6	valid
1900 Edgewater	6	valid
1513 Waterbury	6	valid
5500 Detroit	6	suspect
1614 Lakewood	6	valid
1615 Newman	6	valid
14321 Detroit	6	valid
1229 Cranford	6	valid
12215 Clifton	6	valid
1232 Hall	6	valid
2200 Lewis	6	valid
14032 Lakewood Heights	6	valid
2002 Clarence	6	valid
1384 Beach	6	valid
11825 Lake	6	valid
2016 Ford	6	valid
2198 Lewis	6	valid
12500 Detroit	6	valid
12231 Clifton	6	valid
13100 Madison	6	valid
1633 Hopkins	6	valid
15325 Lake	6	valid
1375 Bunts	6	valid
2023 Nissan	6	valid
3900 Detroit	6	suspect
2013 Honda	6	valid
1549 Rockway	6	valid
11709 Madison	6	valid
1656 Wagar	6	valid
18414 Detroit	6	valid
2113 Brown	6	valid
13229 Madison	6	valid
12203 Clifton	6	valid
4306 Detroit	6	suspect
1519 Lakeland	6	valid
1253 Granger	6	valid
15501 Detroit	6	valid
2075 Clarence	6	valid
1341 Lakeland	6	valid
11711 Lake	6	valid
16910 Detroit	6	valid
2148 Northland	6	valid
13123 Detroit	6	valid
12806 Madison	6	valid
13000 Athens	6	valid
1659 Rosewood	6	valid
1414 Elber	6	valid
1591 Riverside	6	valid
1421 Waterbury	6	valid
2010 Honda	6	valid
1312 Sloan	6	valid
12701 Plover	6	valid
2014 Ford	6	valid
4100 Detroit	6	suspect
1441 Alameda	6	valid
13439 Clifton	6	valid
2023 Robin	6	valid
1289 Brockley	6	valid
2022 Lincoln	6	valid
2650 Detroit	6	suspect
11823 Detroit	6	valid
117 South Of	6	intersection-117th
15118 Detroit	6	valid
12227 Clifton	6	valid
2026 Chevy Traverse	6	valid
11843 Lake	6	valid
2148 Waterbury	5	valid
1466 Winchester	5	valid
1450 Parkwood	5	valid
273 Traffic	5	suspect
2005 Honda	5	valid
1480 Warren Road	5	valid
12900 Lake Apartment	5	valid
1559 Lakeland	5	valid
1344 Beach	5	valid
12220 Madison	5	valid
1382 Cove	5	valid
11906 Madison	5	valid
2018 Honda	5	valid
1545 Coutant	5	valid
18515 Detroit	5	valid
2024 Kia	5	valid
13340 Madison	5	valid
13306 Detroit	5	valid
2015 Ford	5	valid
14837 Detroit	5	valid
2026 Honda	5	valid
2011 Chevy	5	valid
1610 Ridgewood	5	valid
2022 Toyota	5	valid
1470 Victoria	5	valid
1045 Parkside	5	valid
11801 Clifton	5	valid
15500 Detroit	5	valid
1522 West Clifton	5	valid
1498 West	5	valid
12021 Edgewater	5	valid
13395 Madison	5	valid
11900 Detroit	5	valid
2024 Ford	5	valid
11835 Clifton	5	valid
1687 Robinwood	5	valid
14808 Lake	5	valid
2024 Volkswagen	5	valid
12505 Edgewater	5	valid
2020 Hyundai	5	valid
1391 Warren	5	valid
2058 Robin	5	valid
2020 Kia	5	valid
2012 Ford	5	valid
11822 Detroit	5	valid
16802 Delaware	5	valid
1285 Hall	5	valid
13740 Madison	5	valid
11709 Lake	5	valid
1615 Warren	5	valid
1502 Lakeland	5	valid
1481 Wyandotte	5	valid
14100 Franklin	5	valid
1630 West	5	valid
12543 Clifton	5	valid
1349 Marlowe	5	valid
2012 Nissan	5	valid
17625 Detroit	5	valid
1414 Grace	5	valid
18101 Clifton Road	5	valid
1518 Woodward	5	valid
1625 Alameda	5	valid
2033 Chesterland	5	valid
12540 Edgewater Marine	5	valid
11738 Lake	5	valid
2200 Atkins	5	valid
18514 Detroit	5	valid
1170 French	5	valid
18725 Detroit	5	valid
12200 Madison	5	valid
1636 Elmwood	5	valid
1251 Marlowe	5	valid
15914 Lakewood Heights	5	valid
13405 Madison	5	valid
1418 Wyandotte	5	valid
13520 Elber Lane	5	valid
2367 Woodward	5	valid
1226 Ramona	5	valid
18915 Detroit Extension	5	valid
2011 Ford	5	valid
18101 Detroit	5	valid
1511 Warren Road	5	valid
13705 Madison	5	valid
1388 Riverside	5	valid
1321 Matthews	5	valid
1303 Cove	5	valid
2275 Warren	5	valid
